,P1,P2,P3,Thi
174,7.0,7.4,7.25,6.75
175,7.25,6.5,8.0,7.75
176,6.825,7.0,7.0,7.0
177,7.25,7.25,7.5,7.5
178,7.25,6.5,6.5,6.5
179,6.325,6.0,6.25,6.0
180,7.0,6.0,6.0,6.0
181,6.5,6.0,6.75,6.0
182,7.25,6.5,6.75,6.5
183,7.125,6.75,6.0,6.5
184,7.625,7.125,6.0,5.0
185,7.625,6.8,7.0,6.0
186,6.75,7.25,7.0,6.0
187,7.0,6.875,7.0,6.5
188,7.375,7.0,6.75,6.5
189,6.875,7.0,6.75,7.0
190,7.25,6.875,7.25,7.25
191,6.875,7.125,7.0,6.75
192,7.125,7.125,7.0,6.75
193,7.25,3.375,7.0,6.5
194,6.5,6.75,6.5,6.25
195,6.5,6.875,6.75,6.75
196,3.0,0.0,0.0,0.0
197,7.125,6.875,7.25,7.0
198,7.75,8.375,8.0,8.5
199,7.5,8.125,8.0,8.5
200,7.125,7.75,7.5,8.0
201,7.75,7.625,7.0,7.5
202,7.375,8.125,8.0,8.0
203,0.0,0.0,0.0,0.0
204,7.125,7.5,7.5,6.5
205,6.875,7.125,7.5,6.5
206,6.625,6.5,6.5,5.75
207,3.75,3.375,6.5,6.0
208,7.75,7.875,8.0,7.5
209,7.5,7.625,7.75,7.5
210,7.125,7.625,7.5,7.5
211,7.125,7.375,7.25,7.0
212,6.75,8.75,9.0,8.5
213,7.5,6.0,6.5,6.5
214,7.5,6.75,6.25,6.25
215,7.25,6.5,6.5,6.0
216,7.875,6.25,6.5,6.5
217,8.25,8.0,8.0,8.0
218,7.125,6.5,6.25,6.0
219,7.25,0.0,0.0,0.0
220,6.875,6.5,6.0,5.0
221,6.375,6.375,6.0,5.0
222,7.25,6.5,6.5,6.0
223,7.375,6.5,7.5,7.0
224,7.25,6.75,7.0,7.0
225,7.125,6.75,6.75,7.0
226,7.75,6.375,7.5,7.0
227,7.875,6.125,6.75,7.0
228,7.25,6.25,6.5,6.75
229,7.0,6.25,7.5,7.0
230,7.0,6.25,7.25,7.0
231,6.5,6.125,7.0,6.5
232,7.5,6.0,7.0,7.25
233,8.0,7.0,6.75,7.0
234,7.5,6.0,6.5,6.5
235,7.5,6.0,6.5,6.5
236,7.0,6.125,6.25,6.5
237,7.5,5.75,6.0,6.0
238,9.0,8.0,7.375,8.0
239,9.5,8.25,7.75,8.0
240,9.25,8.75,8.25,9.0
241,9.375,8.0,7.375,8.0
242,9.125,8.0,7.25,8.0
243,7.5,7.0,6.0,7.0
244,8.0,6.75,6.5,7.0
245,8.0,6.625,6.5,6.0
246,8.0,6.75,6.75,6.5
247,7.5,7.0,6.75,7.0
248,7.0,7.125,6.25,7.5
249,6.5,7.125,6.5,7.0
250,6.75,7.125,6.75,7.5
251,6.5,6.875,6.0,7.0
252,6.0,7.0,6.25,7.0
253,8.0,6.875,7.25,6.5
254,9.0,7.0,8.0,8.0
255,7.75,6.375,6.8,6.5
256,7.25,6.0,6.25,6.0
257,7.25,6.0,6.125,6.0
258,7.25,7.0,6.0,7.0
259,7.25,7.25,6.75,7.0
260,7.0,7.5,3.123,7.0
261,0.0,7.125,5.5,7.0
262,7.25,7.0,6.5,7.0
263,8.125,7.25,7.375,7.0
264,8.75,7.25,3.75,6.0
265,8.5,6.875,3.5,6.0
266,8.5,7.625,7.875,7.5
267,8.75,8.0,7.5,7.5
268,8.5,6.594310344827586,6.75,7.5
269,9.0,6.594310344827586,6.75,7.5
270,9.0,6.594310344827586,7.0,8.0
271,8.5,6.594310344827586,6.75,7.5
272,8.0,6.594310344827586,7.0,7.25
273,7.75,6.875,7.0,7.5
274,7.75,7.0,7.0,7.5
275,7.5,7.0,7.0,7.5
276,7.5,7.25,7.0,7.25
277,7.75,7.75,8.25,8.0
278,8.25,7.0,7.75,8.0
279,7.5,6.75,7.25,7.0
280,7.625,6.75,7.25,7.0
281,7.0,6.25,6.875,6.0
282,9.0,9.0,8.75,9.0
283,7.25,7.5,7.75,7.5
284,7.0,6.75,3.0,6.5
285,6.5,6.625,7.0,6.0
286,8.25,7.75,7.75,7.0
287,8.25,7.25,3.5,6.0
288,7.75,7.25,7.0,6.0
289,8.0,7.25,7.25,7.0
290,7.75,7.5,7.0,6.5
291,7.75,7.875,7.25,7.0
292,5.5,6.75,6.75,6.5
293,7.0,6.25,7.0,6.0
294,4.0,6.25,7.0,6.0
295,7.5,8.0,7.0,7.0
296,3.5,5.5,3.0,5.0
